observaciones,pozos
14,ANTIGUO-12--
14,ANTIGUO-13--
14,ANTIGUO-15--
14,ANTIGUO-16--
14,ANTIGUO-17--
1,ANTIGUO-2--
14,ANTIGUO-25--
14,ANTIGUO-26--
14,ANTIGUO-6--
14,ANTIGUO-7--
14,ANTIGUO-8--
1,APERTURA-21--
14,APERTURA-33--
13,APERTURA-402--
14,APERTURA-411--
1,APERTURA-412--
14,APERTURA-414--
14,APERTURA-431--
14,APERTURA-432--
14,APERTURA-433--
14,APERTURA-439--
14,APERTURA-451--
14,APERTURA-453--
14,APERTURA-471--
14,ARABE-1--
14,ARABE-10--
14,ARABE-16--
14,ARABE-2--
14,ARABE-3--
14,ARABE-4--
14,ARABE-5--
13,ARAGON-134--
14,ARAGON-159--
14,ARAGON-169--
14,ARAGON-189--
14,ARAGON-191--
14,ARAGON-43--
13,ARAGON-476--
14,ARAGON-487--
3,ARAGON-553--
14,ARAGON-67--
9,ARAGON-68--
14,ARAGON-84--
14,ARCABUZ-1--
14,ARCABUZ-101--
14,ARCABUZ-102--
14,ARCABUZ-103--
14,ARCABUZ-105--
14,ARCABUZ-106--
14,ARCABUZ-107--
14,ARCABUZ-108--
14,ARCABUZ-109--
14,ARCABUZ-112--
3,ARCABUZ-114--
14,ARCABUZ-115--
14,ARCABUZ-116--
14,ARCABUZ-120--
14,ARCABUZ-121--
14,ARCABUZ-121D-
14,ARCABUZ-122--
14,ARCABUZ-12D-
1,ARCABUZ-132--
14,ARCABUZ-133--
14,ARCABUZ-135--
14,ARCABUZ-140--
14,ARCABUZ-142--
14,ARCABUZ-144--
14,ARCABUZ-145--
14,ARCABUZ-146--
14,ARCABUZ-147--
14,ARCABUZ-149--
14,ARCABUZ-14D-
14,ARCABUZ-151--
14,ARCABUZ-153--
13,ARCABUZ-155--
14,ARCABUZ-156--
14,ARCABUZ-157D-
14,ARCABUZ-158--
14,ARCABUZ-16--
14,ARCABUZ-161--
14,ARCABUZ-162--
14,ARCABUZ-165--
14,ARCABUZ-166--
14,ARCABUZ-167--
14,ARCABUZ-168--
14,ARCABUZ-169--
14,ARCABUZ-178--
14,ARCABUZ-179--
14,ARCABUZ-180--
14,ARCABUZ-181--
14,ARCABUZ-183--
14,ARCABUZ-185--
14,ARCABUZ-186--
14,ARCABUZ-187--
14,ARCABUZ-189--
13,ARCABUZ-19--
13,ARCABUZ-192--
